Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet 
Osmanlı'nın DELİ EVLADI ,@n_evladi,,,,"Asgari ücret 5.000 TL olsa ne olucak. Yaptığı zamın 2 katını elektrik, doğalgaz, su vs faturalara yansıtıyor."
Emre,@syazci,,,,Asgari ücret nasıl yılın bu döneminde TT olmadı hayretler içerisindeyim 
sema ,@SemaYusef,,,,"Cumhurbaşkanı Tayyip #Erdoğan, grup toplantısının ardından, asgari ücrete ilişkin, “Gönlünüzden geçen rakam nedir?” sorusuna, “Belli bir yere gelsin ondan sonra cevap vereceğiz” dedi. #carsamba #asgariuecret"
Himaslan,@himaslan,1,,1,Diyelim ki öyle ve diyelim ki asgari ücret alıyorlar 53x 2324= 116.200 TL gerisini siz hesaplayın...
Yılmaz ŞENGÜL,@DeaTime,,,1,"Devrimci isen 3.800 TL 'nin altında Açıklanacak Her Asgari Ücret Rakamı Bizim İçin GENEL GREV Sebebidir Diyip Çekilir Kenara Beklersin .

VERGİ Dairesinin Önünde ne işin var 

Velevki 2.600 Açıklandı .

Ne Yapacaksın ?"
Kripto_World,@Kripto_World,,,,"CHP'den 'asgari ücret' için 27 maddelik yasa teklifi: 3 bin 100 lira olsun

https://kripto-world.blogspot.com/2020/12/chpden-asgari-ucret-icin-27-maddelik.html…"
Emelll,@emel_gursel0,,,,Asgari ücret arttı ya önüne gelene zam yaparlar artık
Beril K.,@berilbenberil,,,,DİSK: Asgari ücret insan onuruna yaraşır bir düzeye yükseltilmeli https://sozcu.com.tr/2020/ekonomi/disk-asgari-ucret-insan-onuruna-yarasir-bir-duzeye-yukseltilmeli-6179835/… #gazetesozcu via @gazetesozcu
Murat Perçin,@Muratpercin59,,,,2900 TL veya 3000 TL altındaki asgari ücret kabul edilmemeli.
ÖMER BARLIK,@Barlik_Omer,,,,"Asgari Ücret Tespit Komisyonu:
''Yeni yılda alışveriş poşetine zam yapılmayacağından dolayı asgari ücrete de zam yapmaya gerek duymadık.''"
ÖMER BARLIK,@Barlik_Omer,,,4,"Asgari Ücret Tespit Komisyonu:
''Yeni yılda alışveriş poşetine zam yapılmayacağından dolayı asgari ücrete de zam yapmaya gerek duymadık.''"
Gazete Patika,@PatikaGazete,,1,1,"DİSK’ten asgari ücret eylemleri: “Asgari ücretin insan onuruna yaraşır bir seviyeye çıkarılması mümkündür”
https://gazetepatika12.com/diskten-asgari-ucret-eylemleri-asgari-ucretin-insan-onuruna-yarasir-bir-seviyeye-cikarilmasi-mumkundur-79988.html…"
Gazete Patika,@PatikaGazete,,1,1,"DİSK’ten asgari ücret eylemleri: “Asgari ücretin insan onuruna yaraşır bir seviyeye çıkarılması mümkündür”
https://gazetepatika12.com/diskten-asgari-ucret-eylemleri-asgari-ucretin-insan-onuruna-yarasir-bir-seviyeye-cikarilmasi-mumkundur-79988.html…"
Fatih,@karaalFaih,,,,Türk-İş Hak-İş nerde sizin asgari ücret talebiniz kimden nerden onay bekliyorsunuz
Sakarya 360,@Sakarya360haber,,,,"DİSK: Asgari ücret 3 bin 800 lira olsun
https://sakarya360.com/disk-asgari-ucret-3-bin-800-lira-olsun/…"
NTV,@ntv,9,2,30,DİSK'ten yeni asgari ücret açıklaması https://bit.ly/3phngcJ
kalender yıldız,@kalenderyildiz,1,,1,"Çok çalışıyorlar, çok zor şartlarda çalışıyorlar çok düşük ücret alıyorlar. 1 gün kendilerine 29 gün patrona çalışıyorlar #asgariücret"
türker akan,@turkerakan,,,,"Ne boş konuşmalar bunlar @abdullahciftcib , insanların tabiki standartları yükselmeli Dünya da bu zamanda açlıktan hiç bir tek insan ölmememeli ama #asgariücret üzerinden türbüne oynayanların çirkinliğinin ve insanların umutlarını sömürenlerin parçası olmayın."
CHP TBMM Grubu,@CHPTBMM,1,31,112,"Cumhurbaşkanlığı sistemi çalışanlar için çöküş sistemi oldu. 

Grup Başkanvekillerimiz @enginaltaychp, @eczozgurozel ve @enginozkoc asgari ücret için 27 maddelik kanun teklifi hazırladı. Asgari ücret net 3100 TL olmalı, komisyon yeniden yapılandırılmalı. 

https://ankahaber.net/haber/detay/chp_asgari_ucretin_net_3_bin_100_lira_olmasi_icin_kanun_teklifi_verdi_24355…"
Mahir Polat,@vekilmahirpolat,,8,17,"Ülkemizin üretim kapasitesi var.
Saray rejiminin yarattığı saltanat içerisinde insanlarımız çöpten ve pazar atıklarıyla beslenirken, geçtiğimiz gün gördüğümüz üzere Cumhurbaşkanı cümbüş eşliğinde keyif ediyor.

Yurttaşlarımıza sesleniyorum;
Bugünler geçiyor, az kaldı #asgariücret"
Mehmet Tarık,@MehmetTarik16,,,,Geçen sene ağır işte çalışanlara verilen öneri 2300 du . Asgari ücrette 2300 oldu . 2800 den aşağı asgari ücret söz konusu değil . Bence net 3 bini var .
Birsen Türkmen,@BirsenTrkmen10,,,,HANİ asgari ücret açıklaması 
Ercan YILMAZ,@ErcanYilmaz07,,,1,"1992 yılı Ekim maaşı; 1 kasımda 1 milyon lira. Pc: asgari ücret 905 bin lira idi. 3 ay sonra ehliyet alırken babamda borç istedim. Ve işi bıraktım. Kahvehanede, haftalık 500 bin liraya çalışmaya başladım."
Tükenmez Haber,@tukenmezhaber,,,1,TÜİK’ten #asgariücret Tespit Komisyonu’na sunulan rakamlara ilişkin açıklama
Naz Eylül,@NazEylul0,,,,"Taksi açılışı olmuş 5.55.
Minibüs kısa mesafe olmuş 2.75
Dolmuş kısa mesafe olmuş 2.75
İstanbulkart tek kullanım olmuş 10tl.
Su 0-15 metreküp olmuş 8.45,
Otopark olmuş 14tl
En ucuz mezar yeri olmuş 4.500tl
Defin ücreti olmuş 350tl

Asgari ücret 10bin tl olsa yetmez.
#enginozkoc"
BİRLESİK METAL-İŞ,@BirlesikMetal,,5,12,"#DİSK üyeleri  #AsgariÜcret için alanlara iniyor. 
#Bilecik'te  basın açıklaması öncesinde hazırlıklar yapılıyor...
DİSK Genel Sekreteri ve Sendikamız Genel Başkanı 
Adnan Serdaroğlu'nun katılımıyla düzenlenecek basın açıklaması bugün saat 16:45'te..."
HA,@HanifeAltn3,,,,#asgariucret Verdiğim kira maaşımın yarısı kadar. Ve oturduğum ev 1+1. Tek başıma asgarî ücret bana bile yetmezken bir aile nasıl geçinsin.
Shef,@TabureShef,,,3,"Canlı;
İy 0.5 üst
#taburespor #iddaa #fenerinmacivar #YanındayızErolBulut #asgariücret"
Kronos,@KronosHaber,,2,8,"DİSK: İnsanca yaşam istiyoruz, asgari ücret 3 bin 800 TL olmalı    
https://kronos34.news/tr/disk-insanca-yasam-istiyoruz-asgari-ucret-3-bin-800-tl-olmali/…"
Naz Eylül,@NazEylul0,,,,"Taksi açılışı olmuş 5.55.
Minibüs kısa mesafe olmuş 2.75
Dolmuş kısa mesafe olmuş 2.75
İstanbulkart tek kullanım olmuş 10tl.
Su 0-15 metreküp olmuş 8.45,
Otopark olmuş 14tl
En ucuz mezar yeri olmuş 4.500tl
Defin ücreti olmuş 350tl

Asgari ücret 10bin tl olsa yetmez.
#enginozkoc"
Eren,@Eren91140795,,,,Takvim geciktikçe zam geliyor. Takvim yeni yıla kalırsa asgari ücret gibi talepte zamlanmalı 100 bin olsun bizim olsun @ziyaselcuk @safran1958 @demiiryakup @lutfielvan #80binÖğretmenAtaması
Fatih Ç.,@CarrotFth,,,,Asgari ücret de 3000 olsa da garibanın yüzü gülse biraz sayın vekilim 
Sağlık Görevlileri,@GorevlileriK,,,,"AGİ 2021’de Ne Kadar Zamlanacak?
 #asgariücret"
SLIart,@SerdarLeventLS1,1,,1,Yanlış... asgari ücret 1 kişi çalışır 4 kişiye bakar olarak hesaplanmaz... Full yatış yani...hanım da çalışsın arkadaş...
BIÇAK_ALİ ,@Bicak_ali_,,,8,"Allah bereketlendirsin,
Asgari ücret ile geçimini sağlayan kardeşlerime Allah yardım etsin. 
#asgariücret"
Bilginin Gölgesinde,@DogrulukOlsa,,,,"Allah indinde en büyük hata, yalan konuşmaktır. (Hazret-i Ali)
#asgariuecret #burs #Emanet
#carsamba #Menemen"
SLIart,@SerdarLeventLS1,2,,1,"Asgari ücret 4 kişinin geçimi olarak hesaplanmaz, dünyada bir tek bizim millet tek çalışan 4 kişiye bakar mantığıyla hesap yapıyor."
Can ,@fyka9,,,,Asgari ücret en az 4 bin tl olmalı ama bu olursa birçok işçi de işsiz kalabilir. Patonlar elini taşın altına koymazsa bu iş çok zor.
Reuters'a Konuşan Türk Yetkili,@Yetkili_bi_abi,,,8,"İnsafsızlık etmeyin. Asgari ücret az da olsa artacak ama yeni yılda poşet ücretlerine zam yapılmadı. Yani bu ne demek? Geliriniz artarken gideriniz sabit kalacak. Böyle böyle 2023'de refaha kavuşacağız, biraz sabır."
Ataşehir Haber,@atasehir_haber,,,,TÜİK: Asgari ücret ve asgari ücret artış oranı TÜİK tarafından belirlenmemekte ve önerilmemektedir
Hüseyin Kaba,@HseyinKba,,,1,"Sessiz Kalma Susma  Paylaş !

Kim Bu Ülkede Fırsatçılık Yapıp Vatandaşı Mağdur Ediyorsa Vatan Hainidir. #2020ninKaybedeni #dolar #asgariuecret #market #Pazar #fırsat #ayçiçekyağı #yumurta"
kbra trkylmz,@kubra_trkylmz,,,1,"#asgariuecret
#Tuik"
Baran,@Baran_06_06_,,,,Ne olacak sizin bu pkk teşeronlugunuz (asgari ücret sizde ne kadar oldu) 
Nurcan Kara,@nurcnkaraa,,,1,"TÜİK önerisine göre 2021 asgari ücret ağır iş, orta nitelik iş ve hafif işlerde çalışanlar olarak değişkenlik gösterecekmiş. Yaşa ki daha neler duya neler göresin "
Yanmaz60cCc,@vatan60cCc,,,6,"#asgariuecret
Hangi partiye mensup olursan ol
Önce adalet gelir insan olan için
Çıkarların uğruna insanlığı yoksulluğu unutma #carsamba #Ripple"
tempus fugit,@valridanna,1,,,Almanya asgari ücret değişmekle birlikte en basit işi yapan adam 1200-1300 alıyor. Çocuğu varsa çocuk başına da ayda 200 euro geliyor çocukların eğitim hayatı boyunca vs vs
Utku selvi,@IsaSelvi,,,,Başkanın sizi severim aynı toprağın insanlarıyız ama benim için asgari ücret düşüktür ve buna benzer kim ne her söz söylerse haklıdır
günay ayaz,@gunayaz,,,,Asgari ücret ve sendikal hakları http://eskişehir.net konuştuk.
Ümido Bey'iniz,@mayhosadam621,,,12,"Ümit 25 Yaşında
Telefon :   50 ₺
İnternet :   60 ₺
Su         : 100 ₺
Elektrik   : 277 ₺
Doğalgaz:700 ₺
Ulaşım     : 300 ₺
Ev kirası : 1500 ₺
Kuru ekmek: 200 ₺
2324-3187= -863 ₺
Ümit,sadece ekmek yiyerek arta kalmayan para ile 2100 yılında belki evlenebilir

#asgariücret"
Bilal eyt10yılyş,@UlkuBilal,1,22,38,"Kul hakkından,Allah'tan kitap'tan bahsedenler

Kendileri iki,üç hatta dört maaş alanlar

Bize gelince, bunlar
Türemiş, fırsatçı, çift dikiş yapacaklar diyor

ABO Zulümdür

Asgari üçret insanca yaşanabilir olmalıdır
#AsgariUEcretNet3100tl
#EmeklilikteYaşaTakılanlar
@Akparti"
Çağdaş Kocaeli Gazetesi #MaskeTak,@CagdasKocaelii,,,,"CUMHURBAŞKANI ERDOĞAN'DAN ASGARİ ÜCRET AÇIKLAMASI !

https://cagdaskocaeli.com.tr/haber/5917316/cumhurbaskani-erdogandan-asgari-ucret-aciklamasi… #asgariücret #asgariücret2021 #cumhurbaşkanı #receptayyiperdoğan #haberler"
TR  Eᴋᴏɴᴏᴍi,@Tr__Ekonomi,,,,"DİSK'ten ""asgari ücret vergi dışı bırakılsın"" talebi Devrimci İşçi Sendikaları Konfederasyonu (DİSK) Genel Başkanı Arzu Çerkezoğlu,  asgari ücretin tümüyle vergi dışı bırakılarak hesaplanmasını istedi.  https://dunya.com/ekonomi/diskten-asgari-ucret-vergi-disi-birakilsin-talebi-haberi-604730…"
Hilal,@hepmikaybeden,1,,3,Daha asgari ücret tartışmaları devam ederken zamlar şimdiden belirlenmiş bile iflah olur musunuz sanmıyorum :))
Salih Doğancan,@salihdogancan,,,,"Sadece TÜİK’in önermesi değil sağlık, ulaşım, kira gibi giderleri de göz önünde bulundurması gerekiyor. Diyanet fitresi neden daha yüksekte TÜİK’in daha az anlaşılır birşey değil. #asgariücret"
Ben Melike canım,@melikeozyurt7,2,,3,şimdi biz kaç para alacaz ya ne yaptığınız belli değil aw #asgariücret
Mehmet Aka,@Hanse1453,,,,"#istanbulsözleşmesinehayir @RTErdogan #yenidenrefah2yasında @yeniakit #askıdaiktidar #askıdaekmek @rprefahhaliliye @yopdeutsch @yeniyasamgazete @yenisafak
#AsgariUEcret4000 #AsgariUEcretNet3000TL #AsgariÜcret #İnsaniUEcret #insaniücret"
Ulak News,@ulaknews,,,,Erdoğan’dan asgari ücret çıkışı... https://ulak.news/haber_erdogandan-asgari-ucret-cikisi_odatv_292206.html… --- #sondakika #haber #sondakikahaber #haberler
yeni1mecra,@yeni1mecra,,1,," DİSK'ten ""asgari ücret vergi dışı bırakılsın"" talebi

 https://wp.me/pbleqi-beV"
Dünya Gazetesi,@dunya_gazetesi,1,,5,"DİSK'ten ""asgari ücret vergi dışı bırakılsın"" talebi"
Hasan Hüseyin Çakıl,@HasanHseyinakl8,1,,1,Evi kira olan bekara bile yetmez ayrıca asgari ücret VASIFSIZ işçi maaşıdır bunlardan sonra herkese aynı tarife oldu benim mesleğim model makinacılık TEKSTİLDE benim şuanda 8000 lira maaş almam lazım hersene yüzde 10 zamla maaş yerinde saydı eskiden YILDA yüzde 80 zam alırdık
Yasemin,@yasemintiryaki,,,,"""Halkını insan gibi yaşatmayan devlet, ne milli devlettir, ne demokratik, ne de sosyal devlettir.

Sadece bir sömürünün adı ve aracıdır."" - Uğur Mumcu 

#asgariücret"
Av. Direnç Halaçlar,@dhalaclar,1,,,Asgari ücret ne kadar olur ?
Manşet Haber,@mansethaber,,,,"Erdoğan’dan asgari ücret açıklaması https://mansethaber.com/erdogan-dan-asgari-ucret-aciklamasi/15822/…
#haberler #sondakika #mansethaber"
ALİ OSMAN,@aob_bozkurt,,,1,"2021 yılı asgari ücret beklentim 2.649,90 tl (-+ 1tl) Hayırlı ugurlu olsun
Tarih:23.12.2020
@ankara_kusu @ZehraZumrutS #asgariucret #asgariuecret #asgariuecret2021 #Zam #"
Rûdaw Türkçe,@RudawTurkce,,,5,"#DİSK, asgari ücret taleplerini açıklamak amacıyla DİSK Bölge Temsilciliklerinin bulunduğu illerde eylem yaptı"
Şefika,@nurerdagg,1,,5,asgari ücret gibiyim kimse benimle geçinemiyor
The News ,@trthenews,1,,1,Her şeye zam ama #asgariücret ‘i 2.790 tl açıklayalım. Millet 4.500-5.000 tl den aşağı kabul etmez etmesin de... Ben bu süreçte sendikaları da samimi bulmuyorum. Para yoksa herkese yok varsa herkese var olmalı. Vergi ülkesiyiz. Halktan olmayan para isteniyor o vakit adil ekonomi!
Yunuss,@songeckalici,,,,2020deki asgari ücret 2324 TL. Doların 2020 ortalaması 7TL desek 2020deki asgari ücret 330 dolar yapıyor.
Nur ,@Mrsnurevsan,,,2,"#asgariucret
 ""Ulan zaten asgari ücret 2334₺, ücrete 5 TL zâm ile 2339₺ yapma önerisi ne demek ? TÜİK bu kadar mı vicdansızsın?"""
Yunuss,@songeckalici,1,,,Alkolsüz paket için asgari ücrete göre yorum yaptım ben. Yoksa asgari ücret dışında bulunanların alım gücü asgari ücretlilere çok düştü onu kabul ediyorum. 2002de asgari ücret 117 dolar. 2002deki 117 dolar enflasyondan dolayı 2020de 167 dolar yapıyor.
BİRLESİK METAL-İŞ,@BirlesikMetal,,4,12,"Adana’da #asgariücret taleplerimiz sokaklarda: 
Asgari ücret tümüyle vergiden muaf olsun 
Asgari ücrete sigorta pirim desteği sağlansın
2021 asgari ücreti net 3.800 TL olsun...
 #AsgariÜcret3800Net"
ULAKÇI,@UlakciYorum,,,,DİSK’ten “asgari ücret vergi dışı bırakılsın” talebi
EYT,@EYTDURGUN50,,,,#asgariücret #EmeklilikteYasaTakılanIar
İslami Analiz,@islamianalizhm,,,,Erdoğan’dan asgari ücret açıklaması
Er-türk Can,@erturk_776,,,1,"Ben ne imamın ne 12 saat çalışanın maaşına fikir beyan etmem. Asgari ücret 5 bin olmalı
Bana fikrimi sorarsan.

Ama şuan da 
DİLEĞİM DUA'M
RABBİM Ülkemizi dünyamızı Corona belasından kurtarsın  diliyorum eski günlerdeki gibi olmak dileğiyle. Saygılar selametle."
S.,@serkanatki,,1,16,"Asgari Ücret ve KYK'ya zam gelmesinin hiçbir önemi yok. Her şey bunların 3 katı zamlandı. KYK 650 lira olması neye yetecek? O parayla geçen yıl alabildiklerimizi bu yıl alabiliyor muyuz? Yurt ücretleri, ev kiraları baya zamlandı. Gıda ve diğer ürünleri söylemiyorum bile.."
𝙎𝙪𝙨𝙠𝙪𝙣 𝘼𝙙𝙖𝙢 ,@Suskun_Adam004,,,19,"""Fakirlik bir insan olmuş olsaydı onu öldürürdüm""
                           Hz.Ali

#asgariücret"
Cihan,@Lions_____34,1,1,2,"Yağlara bir haller oldu. 
Altın, ikinci el araç ve dolarla        Yarışıyor. 

5 litre ayçiçek yağı
Ocak’ta : 37TL
Aralık’ta : 85 TL

Tereyağ 
Ocak’ta :38 TL 
Aralık’ta :60 TL

#asgariücret 'li Nasıl geçinecek. "
Yunus bey,@YYunus_Bey,1,,,"Para biriktirenlerin vayy hâline öyleyse
Çözüm bu değil
10 üstü maaş alanlara asgari ücret yansımamalı her 2 veya 3 yıl da bir yansımalı
Adam zaten alıyor 10 , 20 , 30 bin tl
Asgari ücrete gelen paraya bakacaksa
Tarlaya gönderin asgari ücret maaşıyla çalıştırın onu"
NeUretelim,@NUretelim,,,,İstanbulda 5 bin olsun asgari ücret
Mavas,@martokano,,,,Asgari ücret yüksek maaşlarıda etkiliyor çünkü. Oransal bakmak lazım. Asgari ücret atıyorum 3% artarsa diğer maaşlarda onu baz alarak zamlanıyor.
UMUT-SEN,@Umut_Sendikasi,,1,11,"Nakliyat-İş Sendikası (@Nakliyatsendika)  asgari ücret sefalet ücreti olmasın net 4500 TL olsun talebiyle Konya 'da basın açıklaması gerçekleştirdi.

#AsgariUcretleGecinemiyoruz
#GücünüFarkEtUmuduYükselt"
blackeagle,@erenblackeagle,1,,,"Fuhuştan, organ ticaretinden, uyuşturucudan para kazan, Türkiye’ye getir, sıfır vergi! Fabrikada alın teri dök, asgari ücret al, vergiye tabi ol!bunu anlayamıyorsan ne anlatayım ki,nasıl anlatayım?"
Ülkede Haber,@UlkedeHaber,,,,CHP asgari ücret için kanun teklifi verdi
Hey gidi günler,@ErginEren14,,,,##asgariücret
Yıldırım,@YildirimRmzn,,,,"Daha asgari ücret belli olmadan ulaşıma ne güzel zam çaktınız.
 
Taksilerden alınan hizmet ve biçilen değer nefretlik. 
#Zam #asgariuecret"
Çağdaş Kocaeli Gazetesi #MaskeTak,@CagdasKocaelii,,,1,"DİSK: 'ASGARİ ÜCRET ANTİDEMOKRATİK BİÇİMDE BELİRLENİYOR'

https://cagdaskocaeli.com.tr/haber/5917254/disk-asgari-ucret-antidemokratik-bicimde-belirleniyor… #disk #asgariücret #diskkocaeli #emepkocaeli #işkurkocaeli"
Ülkede Haber,@UlkedeHaber,,,,CHP asgari ücret için kanun teklifi verdi
Hey gidi günler,@ErginEren14,,,,##asgariücret
Yıldırım,@YildirimRmzn,,,,"Daha asgari ücret belli olmadan ulaşıma ne güzel zam çaktınız.
 
Taksilerden alınan hizmet ve biçilen değer nefretlik. 
#Zam #asgariuecret"
Çağdaş Kocaeli Gazetesi #MaskeTak,@CagdasKocaelii,,,1,"DİSK: 'ASGARİ ÜCRET ANTİDEMOKRATİK BİÇİMDE BELİRLENİYOR'

https://cagdaskocaeli.com.tr/haber/5917254/disk-asgari-ucret-antidemokratik-bicimde-belirleniyor… #disk #asgariücret #diskkocaeli #emepkocaeli #işkurkocaeli"
Yunus bey,@YYunus_Bey,,,,"#asgariücret e bakıyorum.
Bir de başı boş gezen serseri kızlara bakıyorum.
Ulan bunlar parayı nerden buluyor.
Bunların aylık masrafı asgari ücrete tekabül ediyor.
Erkeklerin zaafı var.
Lakin zinaya yasak gelir inşAllah
Yoksa her gün ahlak edep sınırları giderek kötü oluyor."
UMUT,@Umut192010,,,,"Asgari ücret istiyoruz 
Asgari sadaka değil..."
CHP İstanbul İl Başkanlığı,@CHP_istanbulil,9,29,207,"İl Başkanımız Dr. Canan Kaftancıoğlu, 3.100 TL olan asgari ücret önerimizi ilçe halkı ile paylaşmak üzere saha çalışmalarını sürdüren Ümraniye İlçe Örgütümüzü ve Ümraniye esnafını ziyaret etti. @ChpUmraniyeIlce #TekYönİktidar #AsgariÜcretÖnerim"
Mlk ky,@MelekKy4,,,,Sayın  başkanım  asgarî ücret 3bin olsun bu yılda millet vekilleri zam almasın   emekli az zam aldı hiç  değilse  asgarî  iyi olsun zor durumdayız
Engin Ozdemir,@engin0382014,,1,21,"Asgari
Ücret 
Ne 
Oldu 
Abi."
Roza Elif,@Rozaelifb,,,,#asgariücret
Oğuz,@Ouuuz10,,,,Asgari ücret zamlanıyor diye mi?
Pınar Aydın,@pinaryaziyor,,1,6,"Abdullah Çiftçi'nin ""Yeni dönem"" ve ""asgari ücret"" kelimelerinin nasıl bir çağ olduğunu ben anladım. İşverenler bu kafayla giderse yeni dönem de yerleri olmayacak. Çok önemli bir twit."
efsane adnan,@adofbb2,2,,,İnsana geçinebilecek kadar maaş vermek zorundalar asgari ücret diyoruz  işçi maaşı
M Ibrahim KILINC,@MIbrahimKILINC,,,,@fahrettinaltun @RTErdogan asgarı ücret komisyonunda çıkacak ücret temel gıdadaki zamlara göre belirlensin  3000 TL net rakam olmalı bu konuda beyanlarını ve ücretin bu TL den az olmamasını rıca edıyoruz
